"","host_species","preds"
"184","Apomys_musculus",NA
"185","Apomys_sacobianus",NA
"186","Archboldomys_luzonensis",NA
"187","Crunomys_celebensis",NA
"188","Crunomys_fallax",NA
"189","Crunomys_melanius",NA
"190","Chrotomys_silaceus",NA
"191","Chrotomys_gonzalesi",NA
"192","Chrotomys_mindorensis",NA
"193","Chrotomys_whiteheadi",NA
"194","Rhynchomys_isarogensis",NA
"195","Rhynchomys_soricoides",NA
"196","Arvicanthis_abyssinicus",NA
"197","Arvicanthis_blicki",NA
"198","Arvicanthis_nairobae",NA
"199","Arvicanthis_niloticus",NA
"200","Arvicanthis_ansorgei",NA
"201","Arvicanthis_rufinus",NA
"202","Arvicanthis_neumanni",NA
"203","Bandicota_bengalensis",NA
"204","Bandicota_indica",NA
"205","Bandicota_savilei",NA
"206","Batomys_dentatus",NA
"207","Batomys_granti",NA
"208","Batomys_salomonseni",NA
"209","Carpomys_melanurus",NA
"210","Carpomys_phaeurus",NA
"211","Crateromys_australis",NA
"212","Crateromys_paulus",NA
"213","Crateromys_schadenbergi",NA
"214","Berylmys_berdmorei",NA
"215","Berylmys_bowersi",NA
"216","Berylmys_mackenziei",NA
"217","Berylmys_manipulus",NA
"218","Bunomys_andrewsi",NA
"219","Bunomys_chrysocomus",NA
"220","Bunomys_coelestis",NA
"221","Bunomys_fratrorum",NA
"222","Bunomys_penitus",NA
"223","Bunomys_prolatus",NA
"224","Chiromyscus_chiropus",NA
"225","Chiropodomys_calamianensis",NA
"226","Chiropodomys_gliroides",NA
"227","Chiropodomys_karlkoopmani",NA
"228","Chiropodomys_major",NA
"229","Chiropodomys_muroides",NA
"230","Chiropodomys_pusillus",NA
"231","Hapalomys_delacouri",NA
"232","Hapalomys_longicaudatus",NA
"233","Haeromys_margarettae",NA
"234","Haeromys_minahassae",NA
"235","Haeromys_pusillus",NA
"236","Colomys_goslingi",NA
"237","Nilopegamys_plumbeus",NA
"238","Conilurus_penicillatus",NA
"239","Leporillus_conditor",NA
"240","Mesembriomys_gouldii",NA
"241","Mesembriomys_macrurus",NA
"242","Melomys_aerosus",NA
"243","Melomys_bougainville",NA
"244","Melomys_burtoni",NA
"245","Melomys_frigicola",NA
"246","Melomys_lutillus",NA
"247","Melomys_capensis",NA
"248","Melomys_cervinipes",NA
"249","Protochromys_fellowsi",NA
"250","Melomys_fraterculus",NA
"251","Melomys_dollmani",NA
"252","Mammelomys_lanosus",NA
"253","Melomys_leucogaster",NA
"254","Melomys_caurinus",NA
"255","Melomys_fulgens",NA
"256","Melomys_talaudium",NA
"257","Melomys_arcium",NA
"258","Paramelomys_levipes",NA
"259","Paramelomys_lorentzii",NA
"260","Paramelomys_naso",NA
"261","Paramelomys_mollis",NA
"262","Paramelomys_moncktoni",NA
"263","Melomys_obiensis",NA
"264","Paramelomys_platyops",NA
"265","Mammelomys_rattoides",NA
"266","Paramelomys_rubex",NA
"267","Paramelomys_steini",NA
"268","Melomys_rubicola",NA
"269","Melomys_rufescens",NA
"270","Melomys_spechti",NA
"271","Uromys_anak",NA
"272","Uromys_caudimaculatus",NA
"273","Uromys_siebersi",NA
"274","Uromys_hadrourus",NA
"275","Uromys_neobritannicus",NA
"276","Uromys_rex",NA
"277","Zyzomys_argurus",NA
"278","Zyzomys_maini",NA
"279","Zyzomys_palatilis",NA
"280","Zyzomys_pedunculatus",NA
"281","Zyzomys_woodwardi",NA
"282","Leggadina_forresti",NA
"283","Leggadina_lakedownensis",NA
"284","Notomys_alexis",NA
"285","Notomys_aquilo",NA
"286","Notomys_cervinus",NA
"287","Notomys_fuscus",NA
"288","Notomys_mitchellii",NA
"289","Pseudomys_albocinereus",NA
"290","Pseudomys_apodemoides",NA
"291","Pseudomys_australis",NA
"292","Pseudomys_bolami",NA
"293","Pseudomys_chapmani",NA
"294","Pseudomys_delicatulus",NA
"295","Pseudomys_desertor",NA
"296","Pseudomys_fieldi",NA
"297","Pseudomys_fumeus",NA
"298","Mastacomys_fuscus",NA
"299","Pseudomys_glaucus",NA
"300","Pseudomys_gracilicaudatus",NA
"301","Pseudomys_hermannsburgensis",NA
"302","Pseudomys_higginsi",NA
"303","Pseudomys_johnsoni",NA
"304","Pseudomys_laborifex",NA
"305","Pseudomys_calabyi",NA
"306","Pseudomys_nanus",NA
"307","Pseudomys_novaehollandiae",NA
"308","Pseudomys_occidentalis",NA
"309","Pseudomys_oralis",NA
"310","Pseudomys_patrius",NA
"311","Pseudomys_pilligaensis",NA
"312","Pseudomys_shortridgei",NA
"313","Madromys_blanfordi",NA
"314","Cremnomys_cutchicus",NA
"315","Cremnomys_elvira",NA
"316","Millardia_gleadowi",NA
"317","Millardia_kathleenae",NA
"318","Millardia_kondana",NA
"319","Millardia_meltada",NA
"320","Dacnomys_millardi",NA
"321","Dasymys_foxi",NA
"322","Dasymys_incomtus",NA
"323","Dasymys_alleni",NA
"324","Dasymys_montanus",NA
"325","Dasymys_nudipes",NA
"326","Dasymys_rufulus",NA
"327","Dephomys_defua",NA
"328","Dephomys_eburneae",NA
"329","Hybomys_basilii",NA
"330","Hybomys_badius",NA
"331","Hybomys_lunaris",NA
"332","Hybomys_planifrons",NA
"333","Hybomys_trivirgatus",NA
"334","Hybomys_univittatus",NA
"335","Hydromys_chrysogaster",NA
"336","Hydromys_habbema",NA
"337","Hydromys_hussoni",NA
"338","Hydromys_neobritannicus",NA
"339","Hydromys_shawmayeri",NA
"340","Xeromys_myoides",NA
"341","Desmomys_harringtoni",NA
"342","Diomys_crumpi",NA
"343","Diplothrix_legata",NA
"344","Echiothrix_leucura",NA
"345","Echiothrix_centrosa",NA
"346","Margaretamys_beccarii",NA
"347","Margaretamys_elegans",NA
"348","Margaretamys_parvus",NA
"349","Melasmothrix_naso",NA
"350","Tateomys_macrocercus",NA
"351","Tateomys_rhinogradoides",NA
"352","Eropeplus_canus",NA
"353","Lenomys_meyeri",NA
"354","Golunda_ellioti",NA
"355","Grammomys_aridulus",NA
"356","Grammomys_buntingi",NA
"357","Grammomys_caniceps",NA
"358","Grammomys_cometes",NA
"359","Grammomys_dolichurus",NA
"360","Grammomys_dryas",NA
"361","Grammomys_gigas",NA
"362","Grammomys_ibeanus",NA
"363","Grammomys_macmillani",NA
"364","Grammomys_minnae",NA
"365","Grammomys_kuru",NA
"366","Grammomys_poensis",NA
"367","Thallomys_loringi",NA
"368","Thallomys_nigricauda",NA
"369","Thallomys_paedulcus",NA
"370","Thallomys_shortridgei",NA
"371","Hadromys_humei",NA
"372","Hadromys_yunnanensis",NA
"373","Heimyscus_fumosus",NA
"374","Hylomyscus_aeta",NA
"375","Hylomyscus_grandis",NA
"376","Hylomyscus_alleni",NA
"377","Hylomyscus_baeri",NA
"378","Hylomyscus_carillus",NA
"379","Hylomyscus_denniae",NA
"380","Hylomyscus_parvus",NA
"381","Hylomyscus_stella",NA
"382","Kadarsanomys_sodyi",NA
"383","Komodomys_rintjanus",NA
"384","Papagomys_armandvillei",NA
"385","Lamottemys_okuensis",NA
"386","Oenomys_hypoxanthus",NA
"387","Oenomys_ornatus",NA
"388","Thamnomys_kempi",NA
"389","Thamnomys_major",NA
"390","Thamnomys_venustus",NA
"391","Lemniscomys_barbarus",NA
"392","Lemniscomys_zebra",NA
"393","Lemniscomys_bellieri",NA
"394","Lemniscomys_griselda",NA
"395","Lemniscomys_hoogstraali",NA
"396","Lemniscomys_linulus",NA
"397","Lemniscomys_macculus",NA
"398","Lemniscomys_mittendorfi",NA
"399","Lemniscomys_rosalia",NA
"400","Lemniscomys_roseveari",NA
"401","Lemniscomys_striatus",NA
"402","Lenothrix_canus",NA
"403","Leopoldamys_edwardsi",NA
